File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\automaton\EWordLabel.java,12,4,3,0,2,0,6,39,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\automaton\ExecutionTrace.java,30,21,16,3,9,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\automaton\FiniteAutomaton.java,295,201,161,35,49,0,45,269,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\automaton\TransitionFunction.java,164,97,73,17,26,0,41,217,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\automaton\Word.java,52,30,21,4,14,0,8,21,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\AbstractCandidateEntity.java,79,60,45,8,19,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\CandidateTestSet.java,61,45,33,8,16,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\candidatemodel\CandidateModel.java,48,35,28,4,13,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\candidatemodel\CandidateModelComparator.java,28,20,14,4,8,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\candidatemodel\CandidateModelDominanceComparator.java,27,17,12,4,7,0,3,3,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\candidatetest\CandidateTest.java,57,43,34,5,14,0,0,0,0,0
